benchmark,suite,stage,min_ms,mean_ms,std_ms,pct_total
dedisp_1600ch_1000dm_b64,dedisp,CuBLAS_FP32,58.72,60.01,0.52,
dedisp_1600ch_1000dm_b64,dedisp,CUTLASS_FP8,38.39,38.96,0.48,
dedisp_1600ch_2000dm_b128,dedisp,CuBLAS_FP32,168.09,169.29,0.73,
dedisp_1600ch_2000dm_b128,dedisp,CUTLASS_FP8,93.22,95.16,1.13,
dedisp_1600ch_2000dm_b16,dedisp,CuBLAS_FP32,89.65,91.31,0.76,
dedisp_1600ch_2000dm_b16,dedisp,CUTLASS_FP8,35.74,36.35,0.47,
dedisp_1600ch_2000dm_b256,dedisp,CuBLAS_FP32,325.37,326.62,0.81,
dedisp_1600ch_2000dm_b256,dedisp,CUTLASS_FP8,157.83,159.30,0.72,
dedisp_1600ch_2000dm_b32,dedisp,CuBLAS_FP32,89.91,90.96,0.67,
dedisp_1600ch_2000dm_b32,dedisp,CUTLASS_FP8,44.65,45.17,0.52,
dedisp_1600ch_2000dm_b64,dedisp,CuBLAS_FP32,107.04,108.44,0.83,
dedisp_1600ch_2000dm_b64,dedisp,CUTLASS_FP8,62.32,63.22,0.53,
dedisp_1600ch_2000dm_b64_pipe,dedisp,CUTLASS_FP8,61.28,62.31,0.70,
dedisp_1600ch_512dm_b64,dedisp,CuBLAS_FP32,35.99,36.39,0.23,
dedisp_1600ch_512dm_b64,dedisp,CUTLASS_FP8,25.99,26.98,0.49,
visbf_16ch_K128,visbf,herk,2.60,2.64,0.03,1.6
visbf_16ch_K128,visbf,pol_reduce,2.64,2.64,0.00,1.6
visbf_16ch_K128,visbf,img_scatter,17.25,17.34,0.25,10.8
visbf_16ch_K128,visbf,img_fft,65.95,66.40,0.32,41.4
visbf_16ch_K128,visbf,img_beam,64.09,64.42,0.35,40.2
visbf_16ch_K128,visbf,corner_turn,6.81,6.88,0.20,4.3
visbf_1ch_K128,visbf,herk,0.18,0.20,0.04,2.0
visbf_1ch_K128,visbf,pol_reduce,0.11,0.12,0.02,1.2
visbf_1ch_K128,visbf,img_scatter,1.06,1.08,0.06,10.5
visbf_1ch_K128,visbf,img_fft,4.28,4.52,0.36,44.2
visbf_1ch_K128,visbf,img_beam,3.64,3.66,0.02,35.7
visbf_1ch_K128,visbf,corner_turn,0.60,0.66,0.09,6.4
visbf_1ch_K256,visbf,herk,0.26,0.27,0.02,2.7
visbf_1ch_K256,visbf,pol_reduce,0.11,0.12,0.02,1.2
visbf_1ch_K256,visbf,img_scatter,1.06,1.07,0.05,10.5
visbf_1ch_K256,visbf,img_fft,4.37,4.43,0.12,43.4
visbf_1ch_K256,visbf,img_beam,3.65,3.70,0.09,36.3
visbf_1ch_K256,visbf,corner_turn,0.60,0.61,0.01,6.0
visbf_1ch_K64,visbf,herk,0.13,0.15,0.04,1.5
visbf_1ch_K64,visbf,pol_reduce,0.11,0.11,0.00,1.1
visbf_1ch_K64,visbf,img_scatter,1.06,1.06,0.00,10.5
visbf_1ch_K64,visbf,img_fft,4.31,4.43,0.18,43.7
visbf_1ch_K64,visbf,img_beam,3.65,3.67,0.03,36.2
visbf_1ch_K64,visbf,corner_turn,0.60,0.71,0.17,7.0
visbf_2ch_K128,visbf,herk,0.34,0.34,0.00,1.7
visbf_2ch_K128,visbf,pol_reduce,0.30,0.31,0.00,1.5
visbf_2ch_K128,visbf,img_scatter,2.13,2.17,0.05,10.9
visbf_2ch_K128,visbf,img_fft,8.52,8.55,0.04,43.0
visbf_2ch_K128,visbf,img_beam,7.48,7.54,0.08,37.9
visbf_2ch_K128,visbf,corner_turn,0.87,0.97,0.13,4.9
visbf_32ch_K128,visbf,herk,5.29,5.33,0.02,1.6
visbf_32ch_K128,visbf,pol_reduce,5.34,5.35,0.01,1.7
visbf_32ch_K128,visbf,img_scatter,34.55,35.15,0.42,10.9
visbf_32ch_K128,visbf,img_fft,130.77,131.98,0.90,40.9
visbf_32ch_K128,visbf,img_beam,130.20,130.86,0.48,40.5
visbf_32ch_K128,visbf,corner_turn,14.06,14.18,0.24,4.4
visbf_4ch_K128,visbf,herk,0.66,0.69,0.04,1.7
visbf_4ch_K128,visbf,pol_reduce,0.65,0.70,0.14,1.7
visbf_4ch_K128,visbf,img_scatter,4.29,4.30,0.03,10.7
visbf_4ch_K128,visbf,img_fft,16.94,16.96,0.03,42.2
visbf_4ch_K128,visbf,img_beam,15.72,15.88,0.27,39.5
visbf_4ch_K128,visbf,corner_turn,1.64,1.66,0.03,4.1
visbf_8ch_K128,visbf,herk,1.30,1.36,0.10,1.7
visbf_8ch_K128,visbf,pol_reduce,1.30,1.30,0.01,1.6
visbf_8ch_K128,visbf,img_scatter,8.62,8.74,0.12,10.8
visbf_8ch_K128,visbf,img_fft,33.34,33.61,0.38,41.7
visbf_8ch_K128,visbf,img_beam,31.72,32.30,0.36,40.0
visbf_8ch_K128,visbf,corner_turn,3.33,3.36,0.05,4.2
voltbf_16ch,voltbf,qc_transpose,16.35,21.73,2.19,10.5
voltbf_16ch,voltbf,gemm_pol0,52.21,53.34,0.58,25.7
voltbf_16ch,voltbf,gemm_pol1,58.41,58.73,0.27,28.3
voltbf_16ch,voltbf,time_integrate,27.93,31.27,2.02,15.1
voltbf_16ch,voltbf,corner_turn,41.38,42.45,1.04,20.5
voltbf_1ch,voltbf,qc_transpose,0.42,0.46,0.06,2.6
voltbf_1ch,voltbf,gemm_pol0,4.47,4.51,0.08,26.1
voltbf_1ch,voltbf,gemm_pol1,8.88,9.01,0.25,52.1
voltbf_1ch,voltbf,time_integrate,1.21,1.25,0.07,7.2
voltbf_1ch,voltbf,corner_turn,1.95,2.08,0.19,12.0
voltbf_2ch,voltbf,qc_transpose,0.84,0.84,0.01,2.4
voltbf_2ch,voltbf,gemm_pol0,8.94,9.05,0.11,26.3
voltbf_2ch,voltbf,gemm_pol1,17.81,18.34,0.26,53.3
voltbf_2ch,voltbf,time_integrate,2.42,2.48,0.09,7.2
voltbf_2ch,voltbf,corner_turn,3.60,3.71,0.17,10.8
voltbf_32ch,voltbf,qc_transpose,64.65,67.53,1.50,10.5
voltbf_32ch,voltbf,gemm_pol0,113.58,113.97,0.28,17.8
voltbf_32ch,voltbf,gemm_pol1,122.44,123.27,0.51,19.2
voltbf_32ch,voltbf,time_integrate,64.42,71.51,3.82,11.2
voltbf_32ch,voltbf,corner_turn,264.11,264.75,0.51,41.3
voltbf_4ch,voltbf,qc_transpose,2.41,2.52,0.13,5.7
voltbf_4ch,voltbf,gemm_pol0,13.45,13.92,0.30,31.2
voltbf_4ch,voltbf,gemm_pol1,14.55,15.09,0.34,33.9
voltbf_4ch,voltbf,time_integrate,4.85,5.30,0.37,11.9
voltbf_4ch,voltbf,corner_turn,7.43,7.73,0.24,17.3
voltbf_8ch,voltbf,qc_transpose,5.18,5.52,0.34,6.0
voltbf_8ch,voltbf,gemm_pol0,26.18,26.75,0.44,29.2
voltbf_8ch,voltbf,gemm_pol1,29.17,29.60,0.37,32.3
voltbf_8ch,voltbf,time_integrate,11.85,13.13,0.89,14.3
voltbf_8ch,voltbf,corner_turn,16.35,16.70,0.12,18.2
voltbf_M10240,voltbf,qc_transpose,1.28,1.29,0.00,2.7
voltbf_M10240,voltbf,gemm_pol0,11.36,11.48,0.14,24.5
voltbf_M10240,voltbf,gemm_pol1,22.75,23.44,0.27,49.9
voltbf_M10240,voltbf,time_integrate,4.85,5.43,0.44,11.6
voltbf_M10240,voltbf,corner_turn,5.04,5.30,0.40,11.3
voltbf_M12288,voltbf,qc_transpose,1.77,1.84,0.10,3.2
voltbf_M12288,voltbf,gemm_pol0,13.60,13.73,0.13,24.2
voltbf_M12288,voltbf,gemm_pol1,27.25,27.87,0.46,49.1
voltbf_M12288,voltbf,time_integrate,6.46,7.11,0.46,12.5
voltbf_M12288,voltbf,corner_turn,6.02,6.22,0.27,11.0
voltbf_M14336,voltbf,qc_transpose,2.08,2.24,0.20,3.3
voltbf_M14336,voltbf,gemm_pol0,15.90,16.04,0.13,23.6
voltbf_M14336,voltbf,gemm_pol1,31.71,32.41,0.60,47.7
voltbf_M14336,voltbf,time_integrate,9.28,9.86,0.32,14.5
voltbf_M14336,voltbf,corner_turn,7.08,7.39,0.32,10.9
voltbf_M16384,voltbf,qc_transpose,2.58,2.60,0.02,3.3
voltbf_M16384,voltbf,gemm_pol0,18.15,18.34,0.15,23.3
voltbf_M16384,voltbf,gemm_pol1,36.80,37.36,0.19,47.5
voltbf_M16384,voltbf,time_integrate,11.04,11.69,0.56,14.9
voltbf_M16384,voltbf,corner_turn,8.27,8.67,0.30,11.0
voltbf_M4096,voltbf,qc_transpose,0.43,0.45,0.03,2.5
voltbf_M4096,voltbf,gemm_pol0,4.57,4.68,0.14,26.4
voltbf_M4096,voltbf,gemm_pol1,9.10,9.21,0.21,52.0
voltbf_M4096,voltbf,time_integrate,1.27,1.30,0.07,7.3
voltbf_M4096,voltbf,corner_turn,1.99,2.09,0.19,11.8
voltbf_M6144,voltbf,qc_transpose,0.65,0.68,0.06,2.5
voltbf_M6144,voltbf,gemm_pol0,6.80,6.93,0.12,25.8
voltbf_M6144,voltbf,gemm_pol1,13.67,14.00,0.20,52.1
voltbf_M6144,voltbf,time_integrate,2.10,2.18,0.07,8.1
voltbf_M6144,voltbf,corner_turn,3.00,3.09,0.13,11.5
voltbf_M8192,voltbf,qc_transpose,0.87,0.88,0.00,2.4
voltbf_M8192,voltbf,gemm_pol0,9.11,9.18,0.11,25.0
voltbf_M8192,voltbf,gemm_pol1,18.20,18.73,0.30,51.0
voltbf_M8192,voltbf,time_integrate,3.46,3.79,0.26,10.3
voltbf_M8192,voltbf,corner_turn,4.01,4.17,0.30,11.3
voltbf_short_cf2,voltbf,fused_transpose_fp8,0.73,0.74,0.02,0.4
voltbf_short_cf2,voltbf,gemm_pol0,97.83,98.68,0.95,49.2
voltbf_short_cf2,voltbf,gemm_pol1,98.12,98.46,0.67,49.1
voltbf_short_cf2,voltbf,time_integrate,2.76,2.83,0.13,1.4
voltbf_short_cf4,voltbf,fused_transpose_fp8,0.69,0.72,0.05,0.6
voltbf_short_cf4,voltbf,gemm_pol0,54.27,54.63,0.67,47.9
voltbf_short_cf4,voltbf,gemm_pol1,55.05,55.75,0.73,48.9
voltbf_short_cf4,voltbf,time_integrate,2.89,3.00,0.21,2.6
voltbf_short_cf8,voltbf,fused_transpose_fp8,0.69,0.72,0.05,1.0
