# CUTLASS GEMM Strategy Tune Cache
# GPU: NVIDIA GB10
# Build: sm120_allcfg_fp6k128_fp4k256_bs128x128_stg3_vec
# Architecture: SM120
# FP8 configs: all tile/stage combos compiled (runtime-selectable)
# FP6: enabled (MMA_K=128)
# FP4: enabled (MMA_K=256)
# Block-scaled tile: 128x128
# Pipeline stages: 3
# Extra vectorization: ON
# Device LTO: OFF
# Max registers: default
#
# M	N	K	batch	precision	gemm_config	tile_name	time_ms	tflops	bandwidth_gbs
64	1000	1600	513	0	2	FP8_T128x128_C1x1_SAuto	41.050	10.2	91.5
4000	4096	1664	8	0	2	FP8_T128x128_C1x1_SAuto	19.333	90.3	76.5
64	2000	1600	513	0	2	FP8_T128x128_C1x1_SAuto	81.357	10.3	89.8
128	2000	1600	513	0	2	FP8_T128x128_C1x1_SAuto	91.502	18.4	87.8
512	4096	1664	200	0	0	FP8_T128x64_C1x1_S3	119.723	46.6	79.3
32	4096	1664	400	0	1	FP8_T128x64_C1x1_SAuto	124.350	5.6	91.8
64	512	1600	513	0	1	FP8_T128x64_C1x1_SAuto	21.975	9.8	92.2
4000	4096	1664	16	0	2	FP8_T128x128_C1x1_SAuto	38.169	91.4	77.5
256	4096	1664	200	0	0	FP8_T128x64_C1x1_S3	86.524	32.3	86.3
64	4096	1664	200	0	2	FP8_T128x128_C1x1_SAuto	64.297	10.9	92.7
16	4096	1664	800	0	0	FP8_T128x64_C1x1_S3	243.593	2.9	91.6
256	2000	1600	513	0	2	FP8_T128x128_C1x1_SAuto	112.301	29.9	84.7
4000	4096	1664	4	0	2	FP8_T128x128_C1x1_SAuto	10.075	86.6	73.4
128	4096	1664	200	0	1	FP8_T128x64_C1x1_SAuto	71.225	19.6	90.7
1024	4096	1664	200	0	0	FP8_T128x64_C1x1_S3	182.467	61.2	74.1
32	2000	1600	513	0	1	FP8_T128x64_C1x1_SAuto	76.298	5.5	90.9
8	4096	1664	200	0	0	FP8_T128x64_C1x1_S3	58.227	1.5	94.7
4000	4096	1664	32	0	0	FP8_T128x64_C1x1_S3	82.225	84.9	72.0
16	2000	1600	513	0	0	FP8_T128x64_C1x1_S3	74.430	2.8	90.7
