benchmark,stage,type,gb10_ms,gh200_ms,observed_speedup,gb200_ms,gb200_lo,gb200_hi,vr200_ms,vr200_lo,vr200_hi
dedisp_1600ch_1000dm_b64,Forward FFT (R2C),fft,3.786,0.238,15.91,0.079,0.030,0.196,0.048,0.012,0.144
dedisp_1600ch_1000dm_b64,Transpose 1 (Batch <-> Freq),memory,6.071,0.340,17.84,0.278,0.134,0.543,0.171,0.055,0.401
dedisp_1600ch_1000dm_b64,CUTLASS FP8 GEMM,cutlass_gemm,23.501,3.428,6.86,1.319,0.863,1.888,0.412,0.180,0.708
dedisp_1600ch_1000dm_b64,Inverse FFT (C2R),fft,2.423,0.150,16.20,0.050,0.019,0.126,0.031,0.008,0.092
dedisp_1600ch_2000dm_b128,Forward FFT (R2C),fft,7.456,0.468,15.92,0.156,0.059,0.386,0.095,0.024,0.284
dedisp_1600ch_2000dm_b128,Transpose 1 (Batch <-> Freq),memory,10.194,0.640,15.93,0.495,0.252,0.912,0.304,0.103,0.673
dedisp_1600ch_2000dm_b128,CUTLASS FP8 GEMM,cutlass_gemm,59.610,5.339,11.16,2.621,1.765,3.650,0.819,0.368,1.369
dedisp_1600ch_2000dm_b128,Inverse FFT (C2R),fft,9.494,0.582,16.30,0.196,0.074,0.492,0.120,0.030,0.361
dedisp_1600ch_2000dm_b16,Forward FFT (R2C),fft,0.974,0.064,15.24,0.021,0.008,0.050,0.013,0.003,0.037
dedisp_1600ch_2000dm_b16,Transpose 1 (Batch <-> Freq),memory,1.950,0.113,17.26,0.091,0.044,0.174,0.056,0.018,0.129
dedisp_1600ch_2000dm_b16,CUTLASS FP8 GEMM,cutlass_gemm,31.170,4.834,6.45,1.803,1.145,2.663,0.564,0.239,0.999
dedisp_1600ch_2000dm_b16,Inverse FFT (C2R),fft,1.217,0.080,15.20,0.026,0.010,0.063,0.016,0.004,0.046
dedisp_1600ch_2000dm_b256,Forward FFT (R2C),fft,14.961,0.929,16.10,0.311,0.117,0.775,0.190,0.048,0.569
dedisp_1600ch_2000dm_b256,Transpose 1 (Batch <-> Freq),memory,20.803,1.234,16.86,0.981,0.485,1.861,0.604,0.199,1.374
dedisp_1600ch_2000dm_b256,CUTLASS FP8 GEMM,cutlass_gemm,89.668,9.695,9.25,4.332,3.204,5.490,1.354,0.667,2.059
dedisp_1600ch_2000dm_b256,Inverse FFT (C2R),fft,19.261,1.157,16.64,0.394,0.146,0.998,0.241,0.060,0.733
dedisp_1600ch_2000dm_b32,Forward FFT (R2C),fft,1.908,0.123,15.51,0.040,0.016,0.099,0.025,0.006,0.073
dedisp_1600ch_2000dm_b32,Transpose 1 (Batch <-> Freq),memory,4.162,0.190,21.94,0.172,0.075,0.372,0.106,0.031,0.275
dedisp_1600ch_2000dm_b32,CUTLASS FP8 GEMM,cutlass_gemm,34.948,4.981,7.02,1.938,1.284,2.743,0.606,0.267,1.029
dedisp_1600ch_2000dm_b32,Inverse FFT (C2R),fft,2.420,0.152,15.97,0.051,0.019,0.125,0.031,0.008,0.092
dedisp_1600ch_2000dm_b64,Forward FFT (R2C),fft,3.783,0.238,15.91,0.079,0.030,0.196,0.048,0.012,0.144
dedisp_1600ch_2000dm_b64,Transpose 1 (Batch <-> Freq),memory,6.811,0.339,20.08,0.294,0.133,0.609,0.181,0.055,0.450
dedisp_1600ch_2000dm_b64,CUTLASS FP8 GEMM,cutlass_gemm,44.304,3.861,11.48,1.921,1.276,2.713,0.600,0.266,1.017
dedisp_1600ch_2000dm_b64,Inverse FFT (C2R),fft,4.807,0.294,16.35,0.099,0.037,0.249,0.061,0.015,0.183
dedisp_1600ch_512dm_b64,Forward FFT (R2C),fft,3.844,0.237,16.22,0.080,0.030,0.199,0.049,0.012,0.146
dedisp_1600ch_512dm_b64,Transpose 1 (Batch <-> Freq),memory,6.446,0.340,18.95,0.287,0.134,0.577,0.176,0.055,0.426
dedisp_1600ch_512dm_b64,CUTLASS FP8 GEMM,cutlass_gemm,13.092,1.090,12.01,0.555,0.360,0.802,0.173,0.075,0.301
dedisp_1600ch_512dm_b64,Inverse FFT (C2R),fft,1.319,0.081,16.36,0.027,0.010,0.068,0.017,0.004,0.050
visbf_16ch_K128,herk,direct_ptx,2.640,1.480,1.78,1.375,0.918,1.931,0.829,0.369,1.398
visbf_16ch_K128,pol_reduce,memory,2.640,0.490,5.39,0.220,0.142,0.321,0.136,0.058,0.237
visbf_16ch_K128,img_scatter,memory,17.340,1.810,9.58,1.085,0.712,1.551,0.668,0.292,1.145
visbf_16ch_K128,img_fft,fft,66.400,11.800,5.63,2.338,1.489,3.441,1.430,0.607,2.525
visbf_16ch_K128,img_beam,fp32_compute,64.420,5.290,12.18,1.911,0.616,5.560,1.161,0.250,4.054
visbf_16ch_K128,corner_turn,memory,6.880,0.570,12.07,0.384,0.224,0.615,0.236,0.092,0.454
visbf_1ch_K128,herk,direct_ptx,0.200,0.110,1.82,0.103,0.070,0.144,0.062,0.028,0.104
visbf_1ch_K128,pol_reduce,memory,0.120,0.040,3.00,0.013,0.006,0.026,0.008,0.003,0.019
visbf_1ch_K128,img_scatter,memory,1.080,0.110,9.82,0.067,0.043,0.097,0.041,0.018,0.071
visbf_1ch_K128,img_fft,fft,4.520,0.730,6.19,0.152,0.092,0.234,0.093,0.038,0.172
visbf_1ch_K128,img_beam,fp32_compute,3.660,0.300,12.20,0.108,0.035,0.316,0.066,0.014,0.230
visbf_1ch_K128,corner_turn,memory,0.660,0.250,2.64,0.079,0.035,0.164,0.048,0.015,0.121
visbf_1ch_K256,herk,direct_ptx,0.270,0.160,1.69,0.145,0.094,0.209,0.087,0.038,0.151
visbf_1ch_K256,pol_reduce,memory,0.120,0.040,3.00,0.013,0.006,0.026,0.008,0.003,0.019
visbf_1ch_K256,img_scatter,memory,1.070,0.110,9.73,0.066,0.043,0.096,0.041,0.018,0.071
visbf_1ch_K256,img_fft,fft,4.430,0.720,6.15,0.149,0.091,0.230,0.091,0.037,0.168
visbf_1ch_K256,img_beam,fp32_compute,3.700,0.300,12.33,0.109,0.035,0.319,0.066,0.014,0.233
visbf_1ch_K256,corner_turn,memory,0.610,0.250,2.44,0.076,0.033,0.164,0.047,0.013,0.121
visbf_1ch_K64,herk,direct_ptx,0.150,0.080,1.88,0.076,0.052,0.104,0.046,0.021,0.076
visbf_1ch_K64,pol_reduce,memory,0.110,0.040,2.75,0.013,0.006,0.026,0.008,0.002,0.019
visbf_1ch_K64,img_scatter,memory,1.060,0.110,9.64,0.066,0.043,0.095,0.041,0.018,0.070
visbf_1ch_K64,img_fft,fft,4.430,0.710,6.24,0.148,0.090,0.230,0.091,0.037,0.168
